CD63,PanEV,EpCAM,CD9,SDC1,EGFR,PDL1,MET,CD81,HER2,ADAM10,CTSH
0,293.5,0,0,0,0,35.25,36.84999847,0,0,46.65000153,0
0,187.3157959,0,77.05263519,33.05263138,0,72.21052551,41.15789413,0,47.68421173,40.57894897,0
0,260.7692261,0,0,0,0,0,0,0,0,43.69230652,0
0,256.9473572,0,0,0,0,0,0,0,0,36.5263176,0
0,235.1111145,0,40,0,0,0,0,0,0,42.05555725,0
0,224.3076935,0,42.92307663,37.30769348,0,0,36.38461685,0,0,46.61538315,0
0,317.055542,0,33.11111069,0,0,0,0,0,0,0,0
0,261.0909119,0,0,0,0,0,0,0,0,0,0
57.72727203,97.8181839,0,95.09091187,37.36363602,0,52.36363602,41.54545593,0,0,36.81818008,0
0,154.6666718,0,61.33333206,36.41666794,0,46.41666794,0,32.83333206,36,51.16666794,0
35.66666794,296.5,0,57.61111069,0,31.77777863,0,0,0,0,0,0
0,283.0526428,0,33.5263176,0,0,0,0,0,0,41.78947449,0
0,242.5714264,0,0,0,0,0,0,0,0,0,0
0,38.70000076,0,88,31.70000076,0,64,47.40000153,0,33,0,0
48.72222137,1680.611084,0,155.777771,47.55555725,37.05555725,104.5,50.83333206,49.88888931,49.88888931,35.88888931,0
45.66666794,142.8333282,0,0,0,0,0,33.58333206,0,0,0,0
0,235.5714264,0,54.92856979,0,0,48.2142868,42,0,37.2142868,0,0
0,285.3999939,0,0,34.40000153,0,0,0,0,0,40.93333435,0
0,738.5499878,0,0,0,0,0,0,0,0,35.59999847,0
0,329.0909119,0,0,32.18181992,0,0,0,0,0,35.04545593,0
0,216.6363678,0,45.18181992,0,0,35,0,0,0,50.09090805,0
0,184.0909119,0,64.1818161,0,45.04545593,54.13636398,40.77272797,36.95454407,77.59091187,35.45454407,57.54545593
0,339.2105408,0,0,0,0,0,0,0,0,42.10526276,0
0,201.6842041,0,41.42105103,0,0,34.94736862,0,0,0,40.68421173,0
47.63158035,153,0,76.78947449,32.68421173,0,67.26316071,34.73684311,0,39.68421173,37.15789413,0
0,262.7142944,0,0,0,0,0,0,0,0,31.6428566,0
0,182.0769196,0,58.15384674,0,0,48.15384674,36.07692337,0,0,31.84615326,0
0,401.9200134,0,0,0,0,0,0,0,0,0,0
0,297.75,0,65.15000153,0,0,47.79999924,0,0,41.90000153,0,0
0,205.615387,0,0,0,0,0,0,0,0,0,0
0,161.6363678,0,47.81818008,0,0,37.45454407,0,0,0,33.63636398,0
0,263.1176453,0,37.05882263,33.64706039,0,34,33,0,0,46.23529434,0
0,386.8260803,0,84.21739197,0,40.82608795,59.47826004,0,39.56521606,41.78260803,0,33.47826004
0,50.23809433,0,0,73.2857132,0,0,95.14286041,0,0,59.52381134,0
0,241.3125,0,41.75,0,0,44.3125,0,0,0,0,0
37.13333511,129.2666626,0,61.59999847,39.06666565,0,54.26666641,0,35.20000076,0,0,0
0,42.05882263,0,0,38.11764526,0,0,90.52941132,0,0,57.23529434,0
0,267.3529358,0,33.76470566,0,0,0,0,0,0,0,0
0,244.1999969,0,41.20000076,0,0,0,35.04999924,0,0,35.54999924,0
0,319.9130554,0,44.91304398,0,0,0,0,0,0,0,0
0,236,0,0,0,0,0,0,0,0,0,0
32.88461685,597.1923218,31.76922989,49.80769348,0,45.34615326,59.11538315,44.73077011,43.42307663,42.07692337,60.26922989,35.88461685
0,305.9473572,0,0,0,0,0,0,0,0,41.10526276,0
0,281.7142944,0,0,0,0,0,0,0,0,0,0
0,390.0666809,0,64,0,64.40000153,72.33333588,53.73333359,38.20000076,0,61.40000153,37.53333282
0,192.8999939,0,43.5,0,0,0,33.09999847,0,0,0,0
37.76922989,1408.461548,0,93.61538696,0,34.61538315,87.61538696,44.07692337,42.84615326,73.15384674,48.23077011,0
0,150.3125,0,59.25,0,0,37.0625,0,0,0,0,0
0,263.8333435,0,47.94444275,36.27777863,0,34.72222137,0,0,0,42.77777863,0
0,206.8636322,0,72.5,31.63636398,49.68181992,68.13636017,0,0,0,32.09090805,0
0,177.1333313,35.20000076,50.40000153,0,37.59999847,32.20000076,0,0,0,34.40000153,0
0,284.9333191,0,0,0,0,0,0,0,0,35.13333511,0
73.83333588,81.66666412,0,124.0833359,0,0,128.25,32.91666794,0,51.91666794,0,0
0,320.1875,0,0,0,0,0,0,0,0,39.5,0
0,283.5499878,0,37.25,0,0,0,0,0,0,32.04999924,0
0,181.1764679,0,47.35293961,0,0,36.70588303,0,0,0,0,0
0,148.0833282,0,57.66666794,37.66666794,0,40.25,44.58333206,0,0,32.58333206,0
0,252.6363678,0,0,0,0,0,0,0,36.90909195,44.18181992,0
33.05263138,261.8947449,0,69.52631378,0,0,60.4736824,0,37.21052551,54.89473724,0,0
0,445.3043518,0,31.56521797,0,32.04347992,33.04347992,43.78260803,0,0,0,0
37.94736862,360.3684082,0,70.21052551,0,0,47.26315689,0,0,34.42105103,0,0
0,268,0,0,33.92856979,0,0,0,0,0,35.7857132,0
0,216.9473724,0,42.05263138,0,0,39.15789413,0,0,0,0,0
0,262.7999878,0,0,33.33333206,0,0,34,0,0,44.59999847,0
0,237.2727203,0,0,0,0,0,0,0,0,38.54545593,0
0,273.2631531,0,97.05263519,35.68421173,38.94736862,78.36842346,78.63157654,42.05263138,53,56.68421173,0
0,44.72727203,0,118,0,36.63636398,86.8181839,0,0,42.81818008,47.54545593,0
0,289.4117737,0,0,0,0,0,31.70588303,0,0,43,0
45.13043594,167.7391357,0,71.78260803,0,0,64.6521759,37.13043594,0,47.30434799,61.52173996,0
0,300.4838562,0,128.4516144,0,79.25806427,81.96774292,63.93548203,67.77419281,101.1290359,50.90322495,72.19355011
0,254.5,0,0,0,0,0,0,0,0,0,0
0,132.6000061,0,67.46666718,33.86666489,31.79999924,46.13333511,0,0,44.40000153,32.53333282,0
0,466,0,0,0,0,0,0,0,0,34.92856979,0
45,361.7999878,0,115.0999985,31.79999924,0,100.5999985,67.59999847,0,62,54.79999924,0
0,602.7692261,0,37.5,56.46154022,0,44.38461685,64.03845978,0,36.57692337,43.84615326,0
0,315.0588379,0,0,33.82352829,0,0,0,0,0,48.88235474,0
0,400,0,38.59090805,0,0,48.40909195,44,56.27272797,33.40909195,36.72727203,33.95454407
38.1428566,52.7142868,0,38.7857132,0,0,51.07143021,0,0,0,0,0
0,190.5882416,32.58823395,76.47058868,0,44.70588303,65.05882263,47.05882263,36.82352829,47.11764526,41.35293961,32
0,271.1363525,0,43.09090805,36.09090805,0,52.59090805,44.27272797,0,53.22727203,0,0
0,274.1764832,0,40.05882263,0,0,0,0,0,0,48.64706039,0
0,589.4210815,0,0,0,0,0,0,0,0,0,0
36.29999924,353.8999939,0,101.5999985,0,0,68.30000305,0,0,101.6999969,58.29999924,49.79999924
0,238.3076935,0,0,32.53845978,0,0,0,0,0,33.30769348,0
0,210.2857208,0,42,0,0,0,0,0,0,0,0
0,59.79999924,0,0,0,0,0,0,0,0,130.6666718,0
54.6428566,41.07143021,0,37.7142868,0,0,0,0,0,32.1428566,42,0
32.1428566,140.5238037,0,56.47618866,0,0,53.61904907,32.52381134,0,32.19047546,0,0
0,268.8235168,0,64.29412079,41.11764526,0,35.82352829,45.88235474,0,35.58823395,0,0
0,255.8666687,0,58.66666794,0,0,56.13333511,0,0,37.20000076,0,0
0,247.0714264,0,50.2857132,0,0,45.1428566,39.07143021,0,35.57143021,58.2142868,32.57143021
0,271.9473572,0,0,0,0,0,0,0,0,0,0
0,264.3157959,0,0,0,0,0,0,0,0,0,0
0,515.7000122,0,44.70000076,0,32,40.59999847,44.5,0,48.90000153,48.09999847,0
0,254.0952454,0,0,0,34.47618866,0,0,0,0,49.38095093,0
0,265.2352905,0,35.88235474,0,0,0,0,0,0,0,0
0,306.6956482,0,0,0,0,0,0,0,0,34.69565201,0
0,309.4761963,0,0,0,0,0,0,0,0,0,0
0,282.1818237,0,0,36.04545593,0,0,0,0,0,0,0
38.51852036,2943.222168,0,0,0,0,0,0,0,0,0,0
0,230.3333282,0,44.59999847,0,0,0,0,0,35.20000076,0,0
0,250.7272797,0,0,31.90909004,0,0,33.81818008,0,0,47.54545593,0
48.40000153,91.69999695,0,62.5,0,0,35.59999847,0,0,32.29999924,0,0
0,274.9090881,0,0,0,0,0,0,0,0,0,0
0,258.8461609,0,0,0,0,0,0,0,0,52,0
0,139.6000061,0,64,0,50.79999924,63.06666565,33.59999847,41,42.40000153,51.40000153,35.40000153
0,289,0,0,0,0,0,0,0,0,46,0
0,64.40000153,0,0,91,0,0,83.40000153,0,0,66.53333282,0
32.35293961,214.2352905,0,42.23529434,0,0,38.70588303,0,0,0,35.05882263,0
0,207.5925903,0,35.22222137,0,0,36.85185242,31.59259224,0,0,0,0
0,263.6923218,0,60.84615326,0,0,0,46.23077011,0,0,50.30769348,0
0,68,0,56.86666489,36.86666489,0,53.93333435,0,0,35.13333511,0,0
0,129,0,49.25,0,0,37.1875,32.875,0,0,0,0
0,259.222229,0,31.88888931,0,0,0,0,0,0,36.11111069,0
0,74.04762268,0,0,0,0,0,0,0,0,140.6190491,0
0,247.6363678,0,0,0,0,0,0,0,0,38.27272797,0
0,406.9583435,0,0,0,0,0,0,0,0,36,0
0,259.0769348,0,0,0,0,0,0,0,0,35.15384674,0
31.6428566,304,0,0,0,0,0,35.42856979,0,0,0,0
0,297.5294189,0,0,0,0,36.23529434,50.11764526,0,0,61,0
0,206.3529358,0,55.11764526,0,0,51.05882263,0,0,34.11764526,32.94117737,0
0,556.8461304,0,98.15384674,0,35.38461685,59.84615326,41.15384674,0,57.53845978,0,0
0,200.4545441,0,55.45454407,33.36363602,41.63636398,44.36363602,39.09090805,0,0,63.27272797,33.54545593
0,271.9166565,0,0,34.58333206,0,0,34.33333206,0,0,36.08333206,0
0,37.44444275,0,161.5,0,52.11111069,95.44444275,0,0,74.77777863,40.33333206,0
39.45454407,240.2727203,0,70.09091187,0,39.36363602,36.09090805,0,0,44.72727203,70.54545593,35.36363602
0,346.5294189,0,36.05882263,34.41176605,0,0,50.23529434,0,0,45.76470566,0
0,482.7826233,0,0,0,0,0,0,0,0,39.30434799,0
0,267.3076782,0,0,0,0,0,0,0,0,0,0
0,259.6000061,0,0,0,0,0,0,0,0,0,0
0,168.2727203,0,39.72727203,0,0,39.09090805,0,0,0,0,0
0,214.75,0,45.4642868,0,0,46.1071434,38.25,32.32143021,31.7142849,44.42856979,0
0,299.5454407,0,58.54545593,0,0,0,0,0,0,32.63636398,0
0,50.30769348,0,0,101.7692337,73.7692337,0,89,83.92308044,0,95.53845978,47.69230652
36.05555725,276.1111145,0,67,43.44444275,34.5,55.22222137,48,36.72222137,52.94444275,71.66666412,0
0,590.2608643,0,50.86956406,0,0,0,0,0,0,0,0
0,150.6842041,0,55.4736824,0,0,43.10526276,0,0,32.10526276,49.10526276,0
0,436.1428528,0,0,0,0,0,45.90476227,0,0,39.66666794,0
0,579.0952148,0,0,0,0,0,0,0,0,0,0
0,265.0454407,0,63.31818008,0,34.72727203,50.5,36.22727203,33.13636398,51.77272797,46.54545593,38.45454407
0,282.2857056,0,0,0,0,0,0,0,0,34.5,0
0,347.25,0,0,33.625,0,0,0,0,0,0,0
0,195.3999939,0,73.40000153,0,37.06666565,53.53333282,0,0,0,0,0
0,490.657135,0,0,0,0,0,37.25714111,0,0,0,0
0,327.0370483,0,58.25925827,32.22222137,0,58.66666794,0,0,41.66666794,0,0
0,325.3333435,0,0,0,0,0,0,0,0,31.73333359,0
0,266.7692261,0,0,0,0,0,43.30769348,0,0,0,0
33.92856979,261.4285583,0,34.07143021,0,0,0,0,0,0,0,0
0,276.0769348,0,37.38461685,0,0,0,0,0,0,33.46154022,0
0,166.5333405,0,45.66666794,0,0,0,0,0,0,0,0
0,255.6363678,0,40.68181992,31.59090996,0,32.95454407,32.5,0,0,0,0
0,212.222229,0,0,0,0,0,0,0,0,0,0
35.94117737,298.3529358,0,69.94117737,39.41176605,0,62.70588303,41.05882263,0,37.64706039,0,0
32.0625,157.5,0,65.1875,69.125,0,55.9375,66.25,0,43.875,74.4375,0
0,323.25,0,0,0,0,0,0,0,0,0,0
0,324.7058716,0,0,0,0,0,0,0,0,0,0
37.42856979,219.4285736,36.2142868,63.2857132,0,49.42856979,55.1428566,0,46.07143021,41.57143021,35.5,33.8571434
0,332.2941284,0,38.23529434,0,0,0,0,0,0,50.82352829,0
0,254.3888855,0,0,0,0,0,0,0,0,32,0
0,213.1111145,0,52.33333206,48.81481552,32,42.55555725,61.22222137,0,36.92592621,54.88888931,0
0,499,0,66.40000153,0,0,37.25,0,0,0,37.84999847,0
0,245.6666718,0,0,0,0,0,0,0,0,35.13333511,0
35.5,67.83333588,0,59.08333206,0,0,43.91666794,38.08333206,0,0,0,0
0,284.2999878,0,0,0,0,0,0,0,0,31.5,0
0,265.3571472,0,80.25,37.8571434,40.7142868,76.2142868,40.1071434,39.92856979,77.82142639,41.6071434,0
0,267.6000061,0,0,0,0,0,0,0,0,34.90000153,0
39.64706039,114.4705887,0,31.8235302,40.52941132,0,38.70588303,0,0,0,47.17647171,0
0,272.9333191,0,0,35.79999924,0,0,0,0,0,49.53333282,0
33.63333511,107.3333359,0,67.03333282,0,0,49.73333359,39.5,0,34.29999924,41.29999924,0
0,295.1904907,0,52.04761887,0,0,52.38095093,0,0,32,58.57143021,0
31.86956596,204.0869598,0,60.30434799,0,0,50.13043594,0,0,37.56521606,37.56521606,0
0,35.84615326,0,0,0,0,0,33.38461685,0,0,137.2307739,0
0,476.4347839,0,0,0,0,0,0,0,0,41.13043594,0
0,41.13333511,0,0,0,0,0,0,0,0,196.0666656,0
0,294.3529358,0,0,0,0,0,0,0,0,0,0
0,257.6000061,0,0,32.29999924,0,0,0,0,0,0,0
0,306.6499939,0,0,0,0,0,0,0,0,45.29999924,0
0,342.9333191,0,0,0,0,0,39.26666641,0,0,0,0
0,275.5909119,0,52.45454407,0,0,0,0,0,37.45454407,37.90909195,0
0,126.2857132,0,48.3571434,38,41.42856979,49.6428566,44.2142868,0,33.1428566,35.57143021,0
0,251.5333405,0,0,0,0,0,34.93333435,0,0,33.73333359,0
0,963.7272949,0,76.3181839,0,39.04545593,67.77272797,61.95454407,36.81818008,49.95454407,48.45454407,36.45454407
0,336.2307739,0,0,0,0,0,0,0,0,80.92308044,0
0,349.1052551,0,0,0,0,0,0,0,0,38,0
0,5972.160156,0,71.83999634,0,0,58.95999908,32.84000015,0,37.40000153,39,0
0,485.1428528,0,34.2857132,0,0,36.2857132,32.76190567,0,0,0,0
41.06666565,44.33333206,0,0,0,0,0,0,0,0,34,0
0,337.2272644,0,0,0,0,0,0,0,0,0,0
0,334.0799866,0,76.80000305,0,32.27999878,61.95999908,37.79999924,0,0,0,0
0,320.384613,0,61.80769348,0,41,53.19230652,46.57692337,42.34615326,44.80769348,44.92307663,33.23077011
0,190.5454559,0,44.18181992,0,0,32.72727203,0,0,0,0,0
0,222.375,0,32.3125,0,0,37.125,0,0,0,0,0
0,35.70833206,0,0,0,0,0,0,0,0,171.5,0
31.625,371.0833435,0,44.41666794,0,0,51.41666794,0,0,54,36.54166794,0
0,151.0909119,31.54545403,37,0,0,0,0,33.59090805,0,44.63636398,0
0,158.3333282,0,39.73333359,0,0,36.46666718,0,0,0,40.66666794,0
0,249.4117584,0,0,0,0,0,0,0,0,0,0
0,273,0,0,0,0,0,0,0,0,0,0
0,280.2000122,0,44.88000107,0,0,33.84000015,0,0,0,33.15999985,0
0,43.61904907,0,36.33333206,0,0,32.2857132,0,0,48.09523773,0,0
37.47618866,263.1904907,0,49.2857132,0,0,40.42856979,0,0,0,0,0
0,1795.666626,0,0,0,0,0,0,0,0,43.16666794,0
0,407.3333435,0,102.3333359,0,0,72.91666412,34.66666794,0,69.25,34.33333206,0
0,345.0714417,0,37.3571434,0,0,0,40.5,0,0,54.3571434,0
0,461.5714417,0,47.7142868,0,0,36.42856979,0,0,0,36,0
0,345.8888855,0,0,0,0,0,0,0,0,38.55555725,0
0,213.8999939,0,0,0,0,0,0,0,0,34.5,0
0,610.1538696,0,0,0,0,0,0,0,39.42307663,0,0
43.19047546,54.33333206,0,45.09523773,0,0,40.38095093,0,0,0,32.1428566,0
0,294.6428528,0,0,0,0,0,0,0,0,0,0
0,317,0,0,0,0,0,0,0,0,65.94117737,0
34.55555725,209.3888855,0,0,0,0,0,0,0,0,0,0
0,600.125,0,0,45.65625,0,0,67.25,0,0,55.6875,0
