"","Center.of.Mass.X...m.","Center.of.Mass.Y...m.","Area...m2.","Perimeter...m.","Circularity","PanEV","EpCAM","MET","SDC1","EGFR","ADAM10","CTSH","PDL1","HER2","image","celltype"
"2998",48.80474854,29.42569733,28.5,21.89949494,0.746769421,27400,2337.384521,6129.179688,4925.641113,2972.435791,8442,4275.897461,8601.179688,6762.307617,3,"KP"
"2999",50.69667816,12.19242859,18,16.48528137,0.832318678,31621.80859,1720.192261,2902,3644.153809,2250.307617,4580.269043,2972.153809,1922.692261,3040.307617,3,"KP"
"3000",22.20455742,33.1339035,16.5,15.07106781,0.912863327,15277.91699,1160.458374,7280,5601.875,2272.541748,11160.29199,2438.166748,2557,2734.458252,3,"KP"
"3001",50.53171921,46.92449951,24,18.48528137,0.882610266,17430.15234,1590.515137,3705.424316,4375.484863,1338.212158,7416.54541,3093.394043,2550.151611,2284.212158,3,"KP"
"3002",56.13709641,17.43790436,16.5,15.89949494,0.820213949,26223.08398,1564.333374,7939.166504,7107.625,1914.583374,9345.833008,2238.625,2042.916626,3161.791748,3,"KP"
"3003",54.20024872,67.53717804,17,15.65685425,0.871464636,22646.59961,3692.679932,5013.720215,4739.040039,4231.040039,6122.720215,3906.159912,6935.040039,5791.040039,3,"KP"
"3004",13.95409584,66.81490326,14.5,14.24264069,0.898249181,15050.09082,1365.681763,7596.09082,4299.09082,2588.95459,5405.772949,3078.318115,3276.272705,2532.863525,3,"KP"
"3005",75.26659393,56.67790222,14.5,14.24264069,0.898249181,23896.63672,1940.818237,6422.59082,5823.45459,2084.95459,8703.954102,2775.90918,5893.681641,4156.772949,3,"KP"
"3006",34.98899841,55.44693756,21,17.65685425,0.84645231,24420.73242,2611.366699,6297,4369.333496,3578.100098,5472.333496,4599.633301,7719,5068.066895,3,"KP"
"3007",11.40684986,64.05384827,21.5,17.89949494,0.843270233,23102.73242,4558.799805,5802.533203,3497.333252,4660.233398,7775.033203,5791.799805,8255.033203,7076.233398,3,"KP"
"3008",52.03627777,38.27342606,26.5,20.72792206,0.775075848,16499.08398,1495.916626,8758.805664,6067.75,2311.833252,7197.5,3103.527832,2374.194336,2541.666748,3,"KP"
"3009",31.83140564,46.54640579,19,17.65685425,0.765837804,22528.42773,1741.714233,6722.071289,5646.643066,2384.571533,6889.321289,2373.178467,2895.607178,2981.857178,3,"KP"
"3010",8.318062782,14.04056263,23,18.48528137,0.845834838,17845,1354.09375,8438.375,5662.65625,2093.28125,8820.3125,2541.34375,2093.625,2550.0625,3,"KP"
"3011",19.04775047,13.83910751,17,15.65685425,0.871464636,32359.43945,6460.359863,5403.319824,4138.919922,7798.439941,12970.55957,6852.47998,10539.91992,9111.160156,3,"KP"
"3012",61.12856293,31.0752182,22,18.48528137,0.80905941,15893.12891,1614.45166,7091,6886.161133,2060.419434,8783.257813,3403.87085,4843.064453,4664.290527,3,"KP"
"3013",15.06535721,46.36392975,17,16.48528137,0.786078752,31290.64063,1764.920044,6601.200195,5065.47998,2101.399902,10103.24023,2387.360107,3815.919922,3900.47998,3,"KP"
"3014",47.00624847,31.22850037,21,18.48528137,0.772283983,15375.7002,1212.56665,5664.899902,4026.199951,2499.43335,6322.166504,2789.533447,3728.43335,3324.966553,3,"KP"
"3015",44.46032333,72.4888916,19,16.48528137,0.878558605,14844.14844,1162.518555,6885.185059,6830.222168,4168.259277,6235.740723,3893.296387,2996.592529,3618.740723,3,"KP"
"3016",21.4185009,18.80249977,21,17.65685425,0.84645231,25413.5332,1652.333374,4563.233398,3648.399902,1702.033325,6040.399902,2940.533447,3500.766602,2998.199951,3,"KP"
"3017",80.40696716,60.71689224,17,15.65685425,0.871464636,15360.2002,2972.360107,6885.879883,6765.720215,4494.439941,11815.83984,3537.639893,6271.640137,6061.799805,3,"KP"
"3018",31.88249969,14.44639301,18,16.48528137,0.832318678,22081.03906,1170.730713,7082.653809,5764.961426,2467.692383,6413.961426,2531.692383,2285.230713,2348.807617,3,"KP"
"3019",18.17575073,55.37744904,19.5,17.07106781,0.840858852,15210.25,1350.142822,5597,4686.964355,2387.285645,8851.392578,2712.571533,3364.75,3196.392822,3,"KP"
"3020",5.395500183,60.23158264,22,19.65685425,0.715491551,16344.25,1718.40625,7577.59375,6939.65625,2813.84375,7040.875,2843.1875,3854.6875,3336.4375,3,"KP"
"3021",31.16855049,60.20615005,17.5,16.24264069,0.833555725,22407.3457,1771.076904,8821.654297,8669.538086,1946.884644,19412.69141,3157.346191,4670.615234,4975.346191,3,"KP"
"3022",61.40515137,55.21395111,19.5,18.72792206,0.69865905,26023.17773,1526.142822,6541.464355,3648.75,3000.107178,6431.356934,1914.428589,3102.678467,2212.071533,3,"KP"
"3023",66.11651611,60.0670166,24.5,20.72792206,0.716579557,16731.61719,1454.294067,4349.206055,3197.617676,2582.617676,3187.823486,2286.088135,3455.294189,3782.588135,3,"KP"
"3024",1.502942324,15.09859657,16.5,15.07106781,0.912863327,14533.29199,2249.875,4110.458496,4260.583496,2920.5,5557.291504,2821.458252,3284.666748,3568.666748,3,"KP"
"3025",21.27316666,46.40674973,26,22.14213562,0.666414133,21057.69531,1930.027832,5840.555664,5353.083496,1683.388916,9812.611328,2131.75,2587.777832,2196.111084,3,"KP"
"3026",13.88387489,0.313374996,4.499999523,13.41421356,0.314262021,25515.91602,2413,2306,4234.416504,4535.583496,8518.416992,2308.416748,2659.416748,4930.083496,3,"KP"
"3027",29.6752491,0.354250014,8,13.65685425,0.539012084,22591.26758,2474.800049,9245.733398,4640.333496,2938.600098,10636.06641,1893.266724,3641.266602,2495.466553,3,"KP"
"3028",41.6553421,0.483068168,10.5,13.07106781,0.772283983,14506.88281,1204.176514,4734.706055,2982.235352,2257.117676,7208.117676,1757.294067,3199.058838,2914.882324,3,"KP"
"3029",23.05349922,36.13349915,13,13.65685425,0.875894637,15535.2998,844.8499756,3463.399902,8025,3051.350098,7176.950195,2693.949951,4725.100098,4579.75,3,"KP"
"3030",26.00393105,36.31929398,9.5,13.07106781,0.698733127,15526.25,1733.9375,4514.1875,3254.4375,2315.625,11018.375,2530.4375,4045.125,1901.875,3,"KP"
"3031",9.601083755,0.626749992,6.5,10.24264069,0.778573011,16052.66699,771.416687,5755.833496,9021.333008,2643.333252,6610.583496,1686.083374,3431.583252,2593.416748,3,"KP"
"3032",75.6550827,36.57858276,5.5,10.24264069,0.658792548,16166.27246,1894.090942,7728.90918,4367.818359,2503.181885,10096.5459,2137.54541,3210.818115,2803.272705,3,"KP"
"3033",0.915600002,38.42250061,9,11.65685425,0.832318678,14009.66699,1828.133301,9662.799805,4847.933105,1981,7487.600098,2062.666748,2717,2810.333252,3,"KP"
"3034",63.38895035,39.28905106,19.5,17.89949494,0.76482649,14462.39258,1214.571411,3797.321533,2294.321533,2209.535645,5359.285645,3259.892822,2961.142822,2890.571533,3,"KP"
"3035",77.12658691,1.280750036,6.5,10.24264069,0.778573011,15255.41699,1953.333374,7896.916504,5929.75,1473.416626,5348.25,1782.25,2433.5,2737.75,3,"KP"
"3036",80.7526474,1.504199982,7,11.65685425,0.647358972,18178.69141,1528,9248.461914,6560.077148,7066.615234,8533.615234,5967.077148,14541.69238,13241,3,"KP"
"3037",44.68455124,39.89400101,8,10.82842712,0.857371602,14468.85742,1236.571411,3841.428467,2254.785645,1862.714233,6295.071289,2763.714355,2843.214355,2251.214355,3,"KP"
"3038",58.34225082,39.79408264,5.5,9.414213562,0.779838121,14426.4541,1192.818237,5645.727051,5620.818359,1629.636353,6684.90918,1865.45459,2871.636475,1981.272705,3,"KP"
"3039",75.07375336,39.84858322,6.5,10.24264069,0.778573011,13645.58301,1324.166626,6581.75,5483.416504,2745.833252,6034.416504,2812.5,2952.083252,2167.666748,3,"KP"
"3040",27.36289215,2.137178659,15,15.65685425,0.768939384,18822.91211,1428,3474.3479,2324.782715,2146.043457,6420.130371,2048.913086,3161.086914,2323.565186,3,"KP"
"3041",70.54116821,40.51166534,25,19.65685425,0.813058581,16403,1833.085693,4260.171387,3594.571533,2068.114258,6069.200195,1977.400024,1899.171387,2383.942871,3,"KP"
"3042",66.53282166,40.75821304,18,16.48528137,0.832318678,21393.6543,1759.692261,5448.653809,6154.038574,1881.576904,7494.769043,2849.884521,6751.384766,6065.307617,3,"KP"
"3043",8.093250275,2.506999969,12,13.65685425,0.808518127,14747.10547,1264.210571,3368.947266,4477.631348,1901.315796,5365.105469,1804.842163,2347.526367,2153.578857,3,"KP"
"3044",51.72851563,2.659279346,16.5,19.07106781,0.570090478,16276.1543,1396.653809,5499.307617,3423.461426,2902.692383,5418.461426,2395.192383,5527.615234,4188.384766,3,"KP"
"3045",76.93637085,63.06772232,25.5,19.89949494,0.809218749,14814.28613,1499.971436,5898.685547,3427.600098,2206.914307,4968.914063,2613.857178,4153.856934,3351.142822,3,"KP"
"3046",34.79824829,41.67887497,10,14.48528137,0.598902316,14411.11719,775.7058716,5928.706055,5062.293945,2572.764648,7695.117676,3343.176514,2581.117676,2654.235352,3,"KP"
"3047",56.01509857,2.763149977,10,12.48528137,0.806145057,14070.6875,1005.625,9932.3125,5953.375,2046.0625,9637.9375,1886.125,3228.375,2848.125,3,"KP"
"3048",59.46495056,2.926650047,5.5,12.24264069,0.461128906,14608.5,1164.5,6484.25,3524.416748,1933.666626,7133.25,2730.166748,3440.583252,2529.75,3,"KP"
"3049",24.17913437,41.76167297,12.5,14.24264069,0.774352743,19191,1786.5,5023.899902,6383.25,2231.600098,7358.450195,3826.699951,3479.550049,2500.850098,3,"KP"
"3050",44.00875092,41.89414978,17.5,17.07106781,0.754616918,20838.19141,1699,9816.807617,6514.846191,3685.923096,11315.88477,3873.5,6030.422852,5650.384766,3,"KP"
